iter	MultiClass
0	0.7205564233
1	0.5370664591
2	0.387233899
3	0.3146717818
4	0.2820928531
5	0.2613224049
6	0.2365854782
7	0.2229735624
8	0.2120116286
9	0.2032058626
10	0.194945031
11	0.1885748374
12	0.1805503182
13	0.1736559105
14	0.1651334969
15	0.1622379094
16	0.1589214649
17	0.153799129
18	0.1499671475
19	0.1471853754
20	0.1442553202
21	0.140337897
22	0.1372007767
23	0.13357901
24	0.1315706375
25	0.1288026142
26	0.1267161957
27	0.1241570393
28	0.1222029054
29	0.11959618
30	0.1177557931
31	0.1163451891
32	0.1150443407
33	0.1129029327
34	0.1098958672
35	0.1085051298
36	0.1070216391
37	0.1059230731
38	0.1053563757
39	0.1027314461
40	0.1016296719
41	0.1004123916
42	0.09866823701
43	0.09719579562
44	0.0963097794
45	0.0951721929
46	0.09411522609
47	0.09327251497
48	0.09223192769
49	0.09071041517
50	0.09003933211
51	0.08887366863
52	0.08815726822
53	0.08676982775
54	0.08568814589
55	0.08474698682
56	0.08414371438
57	0.08308342994
58	0.08206793774
59	0.08087949268
60	0.08000254933
61	0.07890463946
62	0.07841720559
63	0.07768937707
64	0.07648813314
65	0.0760177744
66	0.0754324803
67	0.07505940962
68	0.07464190247
69	0.07411824955
70	0.07354716627
71	0.07331799631
72	0.07257893279
73	0.07145339451
74	0.07026562373
75	0.06951516214
76	0.06889236465
77	0.06839908705
78	0.06764989662
79	0.06737771926
80	0.06670451052
81	0.06635240288
82	0.06567775782
83	0.06495673648
84	0.06453731327
85	0.06397944961
86	0.06341033186
87	0.06271756094
88	0.06200985644
89	0.06130777146
90	0.06114743104
91	0.06073470854
92	0.06027489333
93	0.05980272217
94	0.05926481084
95	0.05901955549
96	0.0586130777
97	0.05807011967
98	0.0579117734
99	0.05685067244
